sourceName,startDate,endDate,activityType,duration,durationUnit,duration,durationUnit ,totalEnergyBurned,HKWeatherHumidity,HKIndoorWorkout,HKWeatherTemperature,HKTimeZone,HKAverageMETs
Susan’s Apple Watch,2022-12-26 21:22:46 +0000,2022-12-27 01:07:59 +0000,Pickleball,11253.24784,sec,187.5541307,min,1472.31 kcal,7800 %,0,55.67 degF,America/Los_Angeles,7.48087 kcal/hr·kg
Susan’s Apple Watch,2023-01-01 21:05:07 +0000,2023-01-02 01:30:28 +0000,Pickleball,11044.90731,sec,184.0817885,min,1349.66 kcal,5600 %,0,56.264 degF,America/Los_Angeles,6.66646 kcal/hr·kg
Susan’s Apple Watch,2023-01-04 01:10:30 +0000,2023-01-04 02:49:26 +0000,Pickleball,4832.858565,sec,80.54764275,min,609.475 kcal,8400 %,0,52.106 degF,America/Los_Angeles,7.10423 kcal/hr·kg
Susan’s Apple Watch,2023-01-16 21:51:23 +0000,2023-01-16 22:42:47 +0000,Pickleball,3044.191855,sec,50.73653091,min,349.05 kcal,8000 %,0,50.684 degF,America/Los_Angeles,7.14479 kcal/hr·kg
Susan’s Apple Watch,2023-01-19 02:31:35 +0000,2023-01-19 04:06:19 +0000,Pickleball,5630.204797,sec,93.83674662,min,597.406 kcal,8100 %,0,51.728 degF,America/Los_Angeles,6.78468 kcal/hr·kg
Susan’s Apple Watch,2023-01-21 03:38:03 +0000,2023-01-21 05:07:16 +0000,Pickleball,5109.81104,sec,85.16351733,min,569.288 kcal,6300 %,0,45.716 degF,America/Los_Angeles,6.8754 kcal/hr·kg
Susan’s Apple Watch,2023-01-21 23:22:41 +0000,2023-01-22 02:14:39 +0000,Pickleball,9406.790666,sec,156.7798444,min,952.524 kcal,5500 %,0,54.41 degF,America/Los_Angeles,6.44856 kcal/hr·kg
Susan’s Apple Watch,2023-01-22 23:58:02 +0000,2023-01-23 01:00:56 +0000,Pickleball,3299.353657,sec,54.98922761,min,340.412 kcal,4100 %,0,57.254 degF,America/Los_Angeles,6.03922 kcal/hr·kg
Susan’s Apple Watch,2023-01-24 21:48:02 +0000,2023-01-24 23:27:24 +0000,Pickleball,4631.674035,sec,77.19456725,min,556.39 kcal,4000 %,0,61.718 degF,America/Los_Angeles,6.81851 kcal/hr·kg
Susan’s Apple Watch,2023-01-26 22:09:37 +0000,2023-01-26 23:27:15 +0000,Pickleball,4419.116824,sec,73.65194707,min,616.159 kcal,3900 %,0,65.12 degF,America/Los_Angeles,8.48433 kcal/hr·kg
Susan’s Apple Watch,2023-01-28 01:31:34 +0000,2023-01-28 02:57:00 +0000,Pickleball,2833.547536,sec,47.22579227,min,360.444 kcal,6400 %,0,54.428 degF,America/Los_Angeles,6.62828 kcal/hr·kg
Susan’s Apple Watch,2023-01-28 03:15:21 +0000,2023-01-28 03:27:06 +0000,Pickleball,704.920743,sec,11.74867905,min,57.8781 kcal,7200 %,0,50.486 degF,America/Los_Angeles,5.57241 kcal/hr·kg
Susan’s Apple Watch,2023-01-28 05:15:15 +0000,2023-01-28 06:11:21 +0000,Pickleball,2826.516204,sec,47.1086034,min,347.029 kcal,7500 %,0,47.246 degF,America/Los_Angeles,7.1139 kcal/hr·kg
Susan’s Apple Watch,2023-01-29 22:45:51 +0000,2023-01-30 00:34:59 +0000,Pickleball,5994.892408,sec,99.91487347,min,796.009 kcal,7200 %,0,47.966 degF,America/Los_Angeles,8.12104 kcal/hr·kg
Susan’s Apple Watch,2023-01-30 22:46:59 +0000,2023-01-30 23:55:08 +0000,Pickleball,3258.042715,sec,54.30071192,min,430.746 kcal,3300 %,0,54.158 degF,America/Los_Angeles,6.99048 kcal/hr·kg
Susan’s Apple Watch,2023-02-02 02:36:39 +0000,2023-02-02 05:19:53 +0000,Pickleball,7104.588781,sec,118.409813,min,795.27 kcal,6900 %,0,49.226 degF,America/Los_Angeles,6.47979 kcal/hr·kg
Susan’s Apple Watch,2023-02-02 23:04:13 +0000,2023-02-03 00:28:16 +0000,Pickleball,4988.23664,sec,83.13727733,min,685.533 kcal,5400 %,0,56.588 degF,America/Los_Angeles,8.46002 kcal/hr·kg
Susan’s Apple Watch,2023-02-05 23:40:35 +0000,2023-02-06 00:38:36 +0000,Pickleball,3481.15448,sec,58.01924133,min,371.153 kcal,7500 %,0,51.908 degF,America/Los_Angeles,6.81531 kcal/hr·kg
Susan’s Apple Watch,2023-02-07 21:16:34 +0000,2023-02-07 23:29:08 +0000,Pickleball,5368.355895,sec,89.47259825,min,658.274 kcal,5800 %,0,56.534 degF,America/Los_Angeles,6.89144 kcal/hr·kg
Susan’s Apple Watch,2023-02-09 02:41:22 +0000,2023-02-09 04:02:31 +0000,Pickleball,4743.685655,sec,79.06142759,min,578.358 kcal,7000 %,0,54.032 degF,America/Los_Angeles,7.66811 kcal/hr·kg
Susan’s Apple Watch,2023-02-11 01:14:33 +0000,2023-02-11 04:30:13 +0000,Pickleball,10506.89692,sec,175.1149486,min,1445.91 kcal,7200 %,0,52.628 degF,America/Los_Angeles,8.13672 kcal/hr·kg
Susan’s Apple Watch,2023-02-12 01:15:24 +0000,2023-02-12 03:41:09 +0000,Pickleball,8633.041772,sec,143.8840295,min,1087.59 kcal,6500 %,0,51.386 degF,America/Los_Angeles,7.92584 kcal/hr·kg
Susan’s Apple Watch,2023-02-12 23:50:28 +0000,2023-02-13 03:36:16 +0000,Pickleball,11227.02325,sec,187.1170541,min,1080.41 kcal,5000 %,0,60.782 degF,America/Los_Angeles,5.63407 kcal/hr·kg
Susan’s Apple Watch,2023-02-15 02:39:56 +0000,2023-02-15 04:02:22 +0000,Pickleball,4787.0921,sec,79.78486833,min,604.214 kcal,6400 %,0,46.49 degF,America/Los_Angeles,7.9007 kcal/hr·kg
Susan’s Apple Watch,2023-02-16 02:42:22 +0000,2023-02-16 05:40:08 +0000,Pickleball,9202.457836,sec,153.3742973,min,1133.2 kcal,5400 %,0,48.47 degF,America/Los_Angeles,7.50582 kcal/hr·kg
Susan’s Apple Watch,2023-02-17 02:40:22 +0000,2023-02-17 06:02:50 +0000,Pickleball,8987.454858,sec,149.7909143,min,1053.92 kcal,5400 %,0,49.604 degF,America/Los_Angeles,7.30085 kcal/hr·kg
Susan’s Apple Watch,2023-02-19 20:42:40 +0000,2023-02-19 23:56:33 +0000,Pickleball,9519.814685,sec,158.6635781,min,1173.76 kcal,3700 %,0,61.88 degF,America/Los_Angeles,6.63821 kcal/hr·kg
Susan’s Apple Watch,2023-02-25 02:43:49 +0000,2023-02-25 03:27:29 +0000,Pickleball,2620.41107,sec,43.67351783,min,243.202 kcal,7700 %,0,42.926 degF,America/Los_Angeles,5.76577 kcal/hr·kg
Susan’s Apple Watch,2023-02-25 21:53:20 +0000,2023-02-26 00:41:15 +0000,Pickleball,7355.105981,sec,122.5850997,min,809.101 kcal,6800 %,0,50.414 degF,America/Los_Angeles,6.54523 kcal/hr·kg
Susan’s Apple Watch,2023-03-02 02:05:31 +0000,2023-03-02 03:00:22 +0000,Pickleball,2169.007188,sec,36.15011981,min,300.467 kcal,5800 %,0,46.04 degF,America/Los_Angeles,7.71259 kcal/hr·kg
Susan’s Apple Watch,2023-03-04 01:49:54 +0000,2023-03-04 05:46:16 +0000,Pickleball,10891.77767,sec,181.5296278,min,1273.2 kcal,,0,,America/Los_Angeles,6.42856 kcal/hr·kg
Susan’s Apple Watch,2023-03-04 23:46:35 +0000,2023-03-05 01:47:04 +0000,Pickleball,5382.254926,sec,89.70424877,min,679.616 kcal,6000 %,0,49.748 degF,America/Los_Angeles,7.15316 kcal/hr·kg
Susan’s Apple Watch,2023-03-07 01:17:51 +0000,2023-03-07 05:43:06 +0000,Pickleball,13894.87547,sec,231.5812579,min,1613.28 kcal,6500 %,0,51.116 degF,America/Los_Angeles,6.60684 kcal/hr·kg
Susan’s Apple Watch,2023-03-08 02:17:31 +0000,2023-03-08 03:54:41 +0000,Pickleball,3956.836808,sec,65.94728013,min,380.92 kcal,6700 %,0,47.48 degF,America/Los_Angeles,4.51763 kcal/hr·kg
Susan’s Apple Watch,2023-03-09 03:07:00 +0000,2023-03-09 05:20:52 +0000,Pickleball,7062.66288,sec,117.711048,min,872.972 kcal,7000 %,0,46.13 degF,America/Los_Angeles,7.37283 kcal/hr·kg
